,rating,title,credit,box,year,actor
136,100,Toy Story 2,Woody,,1999,Tom Hanks
137,100,Return With Honor,Actor,,1999,Tom Hanks
138,69,You've Got Mail,Joe Fox,,1998,Tom Hanks
139,93,Saving Private Ryan,Capt. Miller,,1998,Tom Hanks
140,,Into the Breach: 'Saving Private Ryan',Actor,,1998,Tom Hanks
141,,The Directors,Actor,,1997,Tom Hanks
142,93,That Thing You Do!,"Screenwriter
                                                
                                    
                                            Mr. White
                                    
                                            Director",,1996,Tom Hanks
143,96,The Celluloid Closet,Interviewee,,1996,Tom Hanks
144,,The Universal Story,Actor,,1996,Tom Hanks
145,100,Toy Story,Woody,,1995,Tom Hanks
146,95,Apollo 13,Jim Lovell,,1995,Tom Hanks
147,72,Forrest Gump,Forrest Gump,330.1,1994,Tom Hanks
148,,Through the Eyes of Forrest Gump,Actor,,1994,Tom Hanks
149,79,Philadelphia,Andrew Beckett,,1993,Tom Hanks
150,72,Sleepless in Seattle,Sam Baldwin,,1993,Tom Hanks
151,78,A League of Their Own,Jimmy Dugan,,1992,Tom Hanks
152,32,Radio Flyer,Older Mike,,1992,Tom Hanks
153,16,The Bonfire of the Vanities,Sherman McCoy,,1990,Tom Hanks
154,62,Joe Versus the Volcano,Joe Banks,,1990,Tom Hanks
155,54,Turner and Hooch,Det. Scott Turner,,1989,Tom Hanks
156,50,The 'Burbs,Ray Peterson,,1989,Tom Hanks
157,56,Punchline,Steven Gold,,1988,Tom Hanks
158,97,Big,Josh,,1988,Tom Hanks
159,45,Dragnet,Streebek,,1987,Tom Hanks
160,57,Nothing in Common,David Basner,,1986,Tom Hanks
161,47,The Money Pit,Walter Fielding Jr.,,1986,Tom Hanks
162,,Everytime We Say Goodbye,Actor,,1986,Tom Hanks
163,,Every Time We Say Goodbye,David,,1986,Tom Hanks
164,58,Volunteers,Lawrence Bourne III,,1985,Tom Hanks
165,47,The Man with One Red Shoe,Richard,,1985,Tom Hanks
166,54,Bachelor Party,Rick Gassko,,1984,Tom Hanks
167,,The Dollmaker,Actor,,1984,Tom Hanks
168,90,Splash,Allen Bauer,,1984,Tom Hanks
169,,Mazes and Monsters,Robbie Wheeling,,1982,Tom Hanks
170,25,He Knows You're Alone,Elliot,,1980,Tom Hanks
171,,Fonzo,Al Capone,,2019,Tom Hardy
172,,Venom,Eddie Brock/Venom,,2018,Tom Hardy
173,,Venom,Eddie Brock,,2018,Tom Hardy
